AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,18.2,15.3,12.9,19.3,14.1,4.5
Cash_from_Operations,122.1,77.1,96.9,56.4,27.7,15.2
Diluted_EPS,0.536,0.598,0.447,0.382,0.183,0.07
Goodwill_Intangibles,2.2,,,,,
LT_Debt,15.3,18.1,25.2,10.8,27.2,3.6
Net_Income,77.9,77.1,63.9,54.6,26.2,10.0
Revenue,493.0,412.1,322.7,245.1,134.5,85.9
Shares_Diluted,145.2986,128.8301,142.859,142.859,142.859,142.859
Total_Assets,503.1,431.6,180.7,147.8,92.6,53.9
Total_Liabilities,86.1,87.5,97.2,74.0,61.4,30.9
