AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,338.0,140.0,518.0,211.0,176.0
Cash_from_Operations,725.0,572.0,597.0,390.0,359.0
Diluted_EPS,3.807,3.168,3.221,2.106,2.385
Goodwill_Intangibles,2498.0,2555.0,2613.0,2666.0,
LT_Debt,3059.0,3036.0,0.0,0.0,0.0
Net_Income,370.0,307.0,312.0,204.0,231.0
Revenue,920.0,840.0,754.0,504.0,485.0
Shares_Diluted,97.2,96.9,96.8637,96.8637,96.8637
Total_Assets,8833.0,8166.0,8342.0,7787.0,
Total_Liabilities,4826.0,4294.0,4269.0,4218.0,
