AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,5.1,1.5,3.7,2.0,2.4,0.5,8.0,9.0,6.6,9.1
Cash_from_Operations,121.0,83.9,-512.2,-493.1,-174.0,-28.1,-218.0,-234.9,-50.0,-39.0
Diluted_EPS,2.274,1.881,1.371,0.899,1.554,0.386,-2.165,0.353,1.49,-0.385
Goodwill_Intangibles,2.0,2.4,2.8,2.3,3.8,5.4,6.9,4.9,6.2,15.2
LT_Debt,109.1,138.2,152.0,54.4,55.1,55.7,276.5,13.4,13.4,13.4
Net_Income,130.2,110.7,80.1,51.6,88.7,21.7,-96.5,13.4,57.1,-14.4
Revenue,308.3,222.1,210.8,179.6,148.0,122.0,102.2,83.5,70.7,51.2
Shares_Diluted,57.2689,58.8304,58.4112,57.339,57.0683,56.1763,44.5674,38.0742,38.3297,37.4252
Total_Assets,7903.0,6843.2,6276.8,5657.0,4437.9,4708.1,4858.1,4765.8,4986.3,4593.6
Total_Liabilities,7209.0,6190.8,5695.7,5172.5,4031.1,4384.0,4559.2,4445.8,4667.3,4346.5
