AAII_YR_DATA,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
Capital_Expenditures,13.4,65.1,11.9,5.3,3.7,3.5,9.8,1.9
Cash_from_Operations,21.8,1.2,-30.8,5.2,-32.4,-13.5,-10.5,-14.2
Diluted_EPS,-0.73,-0.791,-1.088,-0.761,-0.847,-1.389,-0.886,-0.202
Goodwill_Intangibles,4.8,5.6,5.9,6.6,7.7,7.6,8.6,
LT_Debt,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Net_Income,-93.3,-94.7,-121.5,-74.8,-66.6,-43.2,-26.5,-17.3
Revenue,390.6,354.7,298.8,228.3,170.2,124.3,89.7,60.0
Shares_Diluted,127.8144,119.6904,111.7589,98.3874,78.6324,31.0697,29.9178,85.4895
Total_Assets,620.3,596.0,563.6,267.1,203.5,86.5,85.5,
Total_Liabilities,408.5,388.8,362.4,182.6,122.0,93.6,60.1,
