AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,9.2,20.9,22.0,33.8,40.3,52.7,72.4,65.4,52.8
Cash_from_Operations,61.6,161.5,76.2,134.0,90.7,-79.7,-6.3,-5.7,-98.2
Diluted_EPS,-2.157,-1.75,-13.207,-1.4,2.732,-9.478,0.132,0.5589999999999999,0.713
Goodwill_Intangibles,202.8,216.0,233.0,231.0,513.2,261.9,479.9,379.4,257.1
LT_Debt,373.0,307.7,313.1,308.5,421.2,365.8,357.4,80.3,82.7
Net_Income,-41.8,-33.9,-241.3,-22.7,40.6,-139.0,1.9,73.8,85.6
Revenue,1076.4,903.9,1114.2,1063.6,1094.8,1764.6,2131.7,1725.0,1594.4
Shares_Diluted,19.3758,19.3758,18.2712,16.2095,14.8487,14.6677,14.6677,132.0108,132.0108
Total_Assets,1609.4,1679.2,1746.8,2026.6,2364.1,2467.5,2427.5,1902.7,1687.6
Total_Liabilities,1282.1,1308.0,1343.7,1457.0,1785.0,1927.3,1729.6,1240.3,948.7
