AAII_YR_DATA,12/31/2022,10/31/2022,10/31/2021,12/31/2020,10/31/2020,10/31/2019
Capital_Expenditures,11.8,112.3,18.3,0.0,5.1,1.0
Cash_from_Operations,-38.4,-72.6,-27.8,-0.5,-7.4,-4.6
Diluted_EPS,0.009,-0.314,-1.388,-0.63,-0.057,-0.025
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,321.2,335.1,100.9,0.0,3.8,0.0
Net_Income,1.7,-53.6,-226.6,-23.6,-9.3,-4.1
Revenue,5.9,13.4,7.4,,0.8,0.0
Shares_Diluted,180.1,170.7,163.1797,37.5,163.1797,163.1797
Total_Assets,901.1,882.3,665.1,301.4,12.2,
Total_Liabilities,403.3,388.4,231.4,51.8,10.7,
