AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.7,1.4,3.2,3.4,1.4
Cash_from_Operations,412.8,361.9,222.9,198.5,139.0
Diluted_EPS,-0.519,0.093,-0.35,0.213,-0.726
Goodwill_Intangibles,3501.4,2675.8,1336.1,578.0,111.9
LT_Debt,3250.1,3234.0,1586.3,1169.3,792.7
Net_Income,-192.7,31.7,-125.2,76.4,-260.0
Revenue,2817.1,2793.1,1451.1,994.1,483.4
Shares_Diluted,371.568,342.7636,357.9553,357.9553,357.9553
Total_Assets,5847.8,6163.6,2154.6,1202.5,536.9
Total_Liabilities,3945.2,4025.5,2313.1,1459.1,915.2
