AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,1.1,0.9,3.2,2.2,0.7,0.0
Cash_from_Operations,-41.3,-127.9,-350.5,-64.4,19.6,1.9
Diluted_EPS,-6.588,-58.084,-145.865,-214.572,-9.63,-1.038
Goodwill_Intangibles,25.5,13.4,14.2,15.1,,
LT_Debt,0.0,174.0,180.5,0.0,0.0,0.0
Net_Income,-199.7,-168.5,-401.1,-300.4,-14.9,-1.6
Revenue,642.5,782.5,824.7,447.5,76.6,8.6
Shares_Diluted,30.307,2.9005,2.75,1.4,1.5493,1.5493
Total_Assets,308.0,431.7,435.3,407.5,70.6,4.4
Total_Liabilities,661.8,621.4,539.2,183.3,46.1,6.1
