AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.5,0.5,1.3,0.4,0.4,0.3,2.9,3.0,1.5
Cash_from_Operations,14.2,11.0,11.3,-1.5,9.4,9.7,7.2,7.3,8.2
Diluted_EPS,3.204,3.269,2.838,2.596,2.245,1.81,1.973,2.071,2.1069999999999998
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2
Net_Income,11.0,11.2,9.8,9.0,7.8,6.4,6.9,7.1,7.2
Revenue,42.7,38.9,35.5,31.9,28.4,25.8,24.5,24.9,25.0
Shares_Diluted,3.4401,3.4175,3.4384,3.4677,3.4683,3.5188,3.4953,3.4468,3.4468
Total_Assets,1303.0,1130.2,877.3,799.6,765.8,700.1,653.3,630.2,586.4
Total_Liabilities,1192.8,1025.1,781.0,712.0,681.9,620.7,575.1,557.0,520.0
