AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,30.0,33.0,32.5,22.9,14.2
Cash_from_Operations,83.1,233.7,238.8,226.7,235.8
Diluted_EPS,3.644,5.454,7.683,10.7,7.58
Goodwill_Intangibles,395.7,382.8,1110.4,1095.8,
LT_Debt,793.9,792.0,0.0,641.0,0.0
Net_Income,72.7,109.0,152.9,213.0,152.1
Revenue,362.4,352.7,331.2,322.6,598.0
Shares_Diluted,19.9538,19.9869,19.9029,19.9029,20.0609
Total_Assets,633.9,562.8,1491.4,1474.0,
Total_Liabilities,889.2,895.5,368.9,1007.8,
