AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,7.2,20.0,32.0,15.1,0.5
Cash_from_Operations,19.3,-144.6,-139.4,-0.9,-13.6
Diluted_EPS,-0.195,-0.346,-0.894,-0.01,-0.011
Goodwill_Intangibles,219.2,228.9,29.7,4.3,0.2
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-115.6,-218.4,-564.7,-6.4,-6.7
Revenue,525.3,827.7,741.7,429.6,90.0
Shares_Diluted,593.1822,631.7083,631.6135,622.801,622.801
Total_Assets,830.9,1030.7,1177.5,284.9,46.5
Total_Liabilities,162.0,228.6,206.8,132.7,28.2
