AAII_YR_DATA,07/31/2022,07/31/2021,12/31/2020,07/31/2020,12/31/2019,07/31/2019,12/31/2018,07/31/2018,12/31/2017,07/31/2017,12/31/2016,07/31/2016,12/31/2015,07/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,0.0,1.7,0.0,1.7,0.0,7.8,0.1,6.1,0.4,4.1,0.0,2.8,0.0,1.8,2.2
Cash_from_Operations,-6.5,-9.3,42.6,-10.8,6.2,-5.5,-27.0,-7.5,-38.1,-9.3,17.0,-8.9,17.1,-8.4,3.8,1.2
Diluted_EPS,-0.044,-0.058,-0.035,-0.07,-0.8390000000000001,-0.071,-0.255,-0.086,-0.285,-0.11,0.665,-0.113,1.079,-0.111,0.094,0.14
Goodwill_Intangibles,0.0,0.0,0.0,0.0,9.5,0.0,9.5,0.0,9.5,0.0,9.5,0.0,6.3,0.0,6.9,13.3
LT_Debt,0.0,1.6,92.4,0.0,135.1,0.0,137.1,0.0,101.8,0.0,54.5,0.0,47.4,0.0,62.4,60.8
Net_Income,-6.6,-8.0,-0.9,-9.0,-21.3,-7.5,-6.4,-8.6,-7.1,-10.1,16.3,-9.7,26.0,-8.7,2.2,3.2
Revenue,,0.0,792.3,0.0,812.0,0.0,839.6,0.0,753.2,0.0,713.9,0.0,659.6,0.0,623.7,561.5
Shares_Diluted,149.4869,137.8885,26.0,127.7124,25.4,106.6458,25.1,99.9287,24.9,91.7976,24.5,85.5509,24.1,78.5924,23.5,22.8
Total_Assets,3.7,4.1,252.6,4.9,301.5,0.9,278.0,1.1,245.9,2.2,202.3,4.5,177.4,7.8,158.0,151.5
Total_Liabilities,3.4,5.5,209.3,2.5,258.6,4.2,216.0,2.7,179.4,2.2,131.8,1.3,124.5,1.0,132.3,128.6
