AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,3.2,4.1,3.2,1.7,1.4
Cash_from_Operations,39.5,-4.1,54.1,36.2,3.0
Diluted_EPS,0.761,0.024,0.211,0.151,0.052
Goodwill_Intangibles,126.5,134.7,122.2,130.1,138.1
LT_Debt,237.1,245.1,355.3,13.2,36.0
Net_Income,127.6,2.3,33.8,25.1,8.6
Revenue,326.9,213.2,175.5,144.5,103.8
Shares_Diluted,167.631,99.269,160.279,166.9394,166.9394
Total_Assets,594.9,426.4,195.3,187.6,185.5
Total_Liabilities,303.5,423.9,379.4,37.7,47.3
