AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,1.0,7.0,33.4,,,
Cash_from_Operations,-34.9,-37.0,-110.5,-2.2,-0.5,0.0
Diluted_EPS,-0.358,-1.474,-3.916,0.1,0.065,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,132.7,143.9,142.7,0.0,0.0,0.0
Net_Income,-60.8,-88.6,-136.4,2.6,1.7,0.0
Revenue,33.2,110.7,47.0,,,
Shares_Diluted,169.7731,60.1015,34.8332,26.0,26.0,25.0
Total_Assets,249.0,142.3,232.6,215.7,213.5,0.2
Total_Liabilities,185.6,210.8,216.0,7.6,8.0,0.2
