AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,,2.2,1.2,0.4,0.7,1.7
Cash_from_Operations,,-17.2,-21.5,-7.9,-6.1,-5.4
Diluted_EPS,-0.811,-0.788,-0.227,-0.196,-0.211,-0.254
Goodwill_Intangibles,0.3,0.1,0.2,0.2,0.1,0.1
LT_Debt,0.5,2.4,0.0,4.6,0.0,0.0
Net_Income,-46.5,-44.5,-12.4,-10.7,-11.2,-13.5
Revenue,6.3,8.1,25.5,17.3,9.4,4.5
Shares_Diluted,57.3475,56.4925,54.7815,54.7286,53.0384,53.0384
Total_Assets,75.2,75.9,68.7,63.7,17.7,21.7
Total_Liabilities,57.6,28.7,29.5,19.5,9.3,5.5
