AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,5.1,18.6,-52.2,-19.1,-3.0,-8.1,37.4,-13.1,-4.1,-4.1,-88.9
Diluted_EPS,-31.42,-117.084,-107.764,-80.339,-69.117,-233.622,-169.178,370.364,1797.576,-16.617,-860.194
Goodwill_Intangibles,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,40.1,40.1,
LT_Debt,18.0,16.5,16.5,23.8,23.6,26.8,29.4,49.8,70.3,70.3,59.7
Net_Income,-1.5,-5.5,-5.0,-3.7,-3.2,-10.6,-7.5,16.2,38.4,-0.3,-22.9
Revenue,33.3,32.7,24.6,11.1,14.7,24.2,25.6,52.4,77.1,51.5,14.5
Shares_Diluted,0.047,0.047,0.0465,0.0462,0.046,0.0454,0.0444,0.0438,0.0214,0.0214,0.0211
Total_Assets,658.4,598.5,517.0,623.8,624.6,658.0,627.8,574.0,623.5,623.5,297.4
Total_Liabilities,628.2,561.5,473.6,576.4,574.7,604.4,565.7,507.8,571.2,571.2,227.4
