AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.6,1.0,1.0,1.4,0.9
Cash_from_Operations,-20.6,-62.9,-55.7,37.6,-35.0
Diluted_EPS,-0.786,-0.715,-0.873,-0.334,0.056
Goodwill_Intangibles,1.7,47.6,49.8,104.4,182.0
LT_Debt,100.3,50.1,66.5,17.9,14.9
Net_Income,-62.6,-56.9,-68.9,-22.4,3.3
Revenue,53.4,13.0,60.5,74.3,86.0
Shares_Diluted,79.6398,79.5426,78.935,66.9084,58.777
Total_Assets,223.8,288.0,331.0,432.2,485.9
Total_Liabilities,165.5,172.3,163.1,198.1,305.8
