AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017
Capital_Expenditures,3.9,4.2,0.0,0.9,0.0,0.1
Cash_from_Operations,-7.5,-11.6,-1.8,0.1,-2.9,3.7
Diluted_EPS,0.103,0.021,0.151,0.108,0.101,-0.052
Goodwill_Intangibles,0.0,0.1,0.2,0.3,0.4,0.5
LT_Debt,0.4,0.0,0.0,0.0,0.0,0.0
Net_Income,2.2,0.3,2.3,1.7,1.6,-0.8
Revenue,40.2,19.8,12.5,10.9,8.1,1.4
Shares_Diluted,21.6598,15.1975,15.5,15.5,15.5,15.5
Total_Assets,94.9,69.0,31.4,24.2,24.3,26.6
Total_Liabilities,31.2,6.3,8.3,6.2,7.3,10.5
