AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,263.4,261.0,6.1,32.1,30.8,18.5
Cash_from_Operations,49.0,-58.5,9.8,8.1,18.6,10.4
Diluted_EPS,-1.554,0.176,-0.259,0.055,-0.222,0.116
Goodwill_Intangibles,0.0,25.2,0.5,0.9,1.4,6.4
LT_Debt,24.7,13.7,10.2,27.8,0.9,0.0
Net_Income,-322.9,29.9,-22.0,3.9,-12.6,6.6
Revenue,192.4,228.9,46.9,43.8,45.7,11.7
Shares_Diluted,207.776,169.3923,84.915,71.058,57.075,57.075
Total_Assets,463.4,732.9,69.8,71.4,35.4,46.7
Total_Liabilities,118.2,162.1,49.0,33.5,14.6,9.0
