AAII_YR_DATA,01/01/2023,01/02/2022,01/03/2021,12/29/2019,12/30/2018
Capital_Expenditures,63.3,154.2,27.7,41.9,39.6
Cash_from_Operations,3.4,-4.9,-189.2,-26.3,-156.8
Diluted_EPS,-6.535,-6.795,-5.821,-8.61,-28.4
Goodwill_Intangibles,0.3,0.4,0.5,5.1,12.2
LT_Debt,380.3,146.0,136.0,1.5,2.1
Net_Income,-267.4,-254.5,-142.6,-183.1,-603.8
Revenue,1060.1,783.3,844.8,1198.3,912.3
Shares_Diluted,40.92,37.457,24.502,21.2607,21.2607
Total_Assets,1260.4,1056.5,980.3,990.2,971.3
Total_Liabilities,1218.0,707.1,547.7,628.0,537.1
