AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,16.3,61.7,18.8,11.2,6.3,2.4
Cash_from_Operations,-183.9,-192.7,-149.7,205.4,-32.3,-34.9
Diluted_EPS,-1.405,-1.477,-1.114,-0.556,-0.391,-0.36
Goodwill_Intangibles,125.8,127.5,129.2,130.9,132.6,134.3
LT_Debt,0.0,0.0,0.0,36.6,0.3,0.3
Net_Income,-200.2,-207.3,-146.2,-69.6,-46.3,-42.7
Revenue,185.3,154.3,98.4,85.1,55.7,38.4
Shares_Diluted,142.5159,140.3549,131.2165,125.2381,118.4742,118.4742
Total_Assets,856.6,923.3,1116.4,912.3,332.7,362.5
Total_Liabilities,392.5,319.4,373.1,341.3,29.9,25.8
