AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.7,0.9,1.4,1.8,1.4,1.3
Cash_from_Operations,-115.3,-80.3,-48.0,-32.1,-23.1,-18.8
Diluted_EPS,-3.621,-2.151,-2.019,-1.402,-0.85,-0.545
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,202.1,70.5,29.2,30.4,3.6,9.5
Net_Income,-145.2,-81.8,-76.1,-51.4,-31.2,-19.4
Revenue,2.2,7.2,12.9,13.2,8.6,8.4
Shares_Diluted,40.108,38.01,37.7124,36.6598,36.6598,35.6546
Total_Assets,290.9,150.4,143.7,26.5,10.0,17.2
Total_Liabilities,232.8,98.1,68.3,60.6,20.1,25.0
