AAII_YR_DATA,04/01/2023,04/02/2022,04/03/2021,01/02/2021,03/28/2020,12/28/2019,03/30/2019,12/29/2018,03/31/2018,12/30/2017,04/01/2017,12/31/2016,01/02/2016,01/03/2015,12/28/2013
Capital_Expenditures,42.0,29.8,11.8,47.5,37.3,92.4,41.3,77.6,28.0,65.2,20.9,65.2,92.2,88.2,91.0
Cash_from_Operations,220.6,180.3,152.5,435.4,155.6,408.5,108.5,362.7,130.3,291.9,101.2,439.6,381.1,298.2,305.0
Diluted_EPS,4.946,1.563,3.583,4.64,5.057,5.661,4.256,5.267,3.577,4.744,2.969,4.52,3.177,0.684,2.643
Goodwill_Intangibles,3322.7,3413.6,431.9,2048.5,440.5,2068.5,417.1,2134.7,451.9,2147.6,464.8,2164.9,2243.4,1206.3,1326.1
LT_Debt,1442.0,1686.8,13.5,840.4,16.6,1136.9,43.2,1306.6,154.1,1039.9,255.6,1310.9,1715.6,624.7,609.0
Net_Income,143.8,42.7,90.1,189.3,126.0,238.9,105.2,231.2,87.1,213.0,70.6,203.4,143.3,31.0,120.0
Revenue,1469.3,942.9,609.0,2907.0,727.5,3238.0,702.5,3645.6,674.9,3360.3,615.4,3224.5,3509.7,3257.1,3095.7
Shares_Diluted,29.0724,27.311,25.1494,40.8,24.9226,42.2,24.7162,43.9,24.3638,44.9,23.7846,45.0,45.1,45.3,45.4
Total_Assets,4690.4,4845.4,1434.3,4589.0,1321.9,4430.7,1147.4,4623.8,1142.8,4388.2,1108.8,4358.5,4591.7,3357.2,3643.5
Total_Liabilities,2154.5,2473.6,204.3,2044.6,203.9,2079.6,178.8,2313.3,308.2,2062.7,391.8,2319.7,2654.4,1422.8,1587.3
