AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.9,2.1,4.0,17.4,16.9,22.7,16.7,22.5,7.9,0.7
Cash_from_Operations,-20.3,-32.1,-186.1,-17.1,38.0,-59.3,-317.4,-74.5,-42.5,17.6
Diluted_EPS,-0.222,-0.139,-1.502,-0.805,-0.212,-0.869,-2.742,-2.559,-2.062,-0.445
Goodwill_Intangibles,33.7,54.1,56.7,56.4,67.6,86.2,188.8,123.4,0.5,
LT_Debt,1.7,2.0,3.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-27.4,-17.2,-185.4,-99.1,-26.6,-109.6,-341.2,-211.9,-72.7,-21.0
Revenue,26.0,60.4,63.8,323.3,317.5,310.7,1492.6,1110.7,554.4,294.1
Shares_Diluted,123.7361,123.6248,123.4133,123.1576,125.9148,126.0767,124.4493,82.7876,35.2488,47.0881
Total_Assets,266.2,325.7,453.1,934.9,929.3,943.6,1299.9,1040.5,414.8,162.2
Total_Liabilities,109.1,145.8,256.8,550.8,454.5,434.1,662.3,559.6,193.9,118.3
