AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,560.5,572.1,704.4,500.0,511.1
Diluted_EPS,4.312,3.356,2.275,4.161,2.786
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0
LT_Debt,742.8,740.4,738.2,0.0,0.0
Net_Income,704.2,546.7,370.4,677.6,453.6
Revenue,1095.0,1117.9,1108.2,978.9,841.1
Shares_Diluted,163.294,162.879,162.84,162.84,162.84
Total_Assets,5709.1,5865.8,5652.7,4502.9,4070.8
Total_Liabilities,1608.2,1760.3,1770.9,675.8,797.1
