AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,52.3,31.2,45.8,36.7,20.8,13.4,18.1,23.3,11.9,19.2,20.6
Cash_from_Operations,415.5,518.8,127.9,-16.0,307.4,141.1,184.5,81.1,44.5,115.5,40.3
Diluted_EPS,2.604,2.972,2.012,1.922,1.877,1.405,1.18,1.221,1.176,1.14,1.026
Goodwill_Intangibles,501.6,507.6,497.9,501.2,492.4,308.8,302.8,181.0,135.7,120.1,135.1
LT_Debt,276.3,249.7,431.9,248.5,247.9,247.2,0.0,0.0,0.0,0.0,0.0
Net_Income,189.0,215.4,145.5,138.8,133.8,87.7,67.3,62.4,41.4,37.5,31.7
Revenue,517.9,443.5,460.2,467.8,421.8,305.1,254.6,212.9,172.5,170.3,173.5
Shares_Diluted,72.5779,72.4792,72.3483,72.189,71.2931,62.3943,56.9833,51.0647,35.2091,32.9203,32.9203
Total_Assets,15845.3,16361.4,14626.4,11947.7,11163.0,8522.2,7973.9,6296.6,4982.5,4673.0,4405.9
Total_Liabilities,13971.3,14462.1,12859.6,10306.9,9637.5,7390.9,6898.8,5485.7,4373.5,4096.7,3853.0
