AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,56.5,225.8,283.0,181.4,157.9,120.2
Cash_from_Operations,213.6,252.5,206.3,79.8,72.1,54.1
Diluted_EPS,0.947,5.75,3.44,0.858,1.459,1.18
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,450.5,459.1,318.0,78.0,0.0,0.0
Net_Income,19.0,115.2,49.9,11.6,40.1,32.4
Revenue,347.9,410.2,273.8,182.2,120.9,104.7
Shares_Diluted,20.058,20.032,14.519,13.566,27.5,27.5
Total_Assets,1030.7,1154.7,973.9,709.9,450.0,280.8
Total_Liabilities,792.1,862.3,729.0,463.3,118.4,75.9
