AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,10.1,3.9,0.9,2.1,8.4,5.2,0.8,0.4
Cash_from_Operations,-70.6,-148.8,-160.4,-107.8,-62.5,-38.9,-23.1,-16.2
Diluted_EPS,-2.526,-3.932,-4.494,-4.163,-2.842,-2.155,-1.966,-1.233
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,206.9,193.6,148.5,150.0,21.4,15.0,1.6,3.5
Net_Income,-113.7,-149.8,-169.7,-137.5,-71.9,-46.3,-27.3,-18.2
Revenue,85.6,73.0,22.5,0.4,0.0,0.0,0.0,0.0
Shares_Diluted,45.013,38.086,37.751,33.027,25.2965,21.4971,13.894,14.7461
Total_Assets,251.9,217.6,295.8,441.3,226.3,127.1,153.3,18.8
Total_Liabilities,268.6,237.7,185.7,181.0,39.2,23.2,8.4,8.7
