AAII_YR_DATA,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,,,,,
Cash_from_Operations,-4.0,-0.8,-0.1,-0.1,0.0,0.0
Diluted_EPS,-6.843,-277.977,-80.043,-92.879,-63.367,-53.473
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-3.4,-37.9,-0.1,-0.2,-0.1,-0.1
Revenue,2.3,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,0.4983,0.1363,0.0018,0.0018,0.0018,0.0018
Total_Assets,4.2,1.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.3,0.6,1.9,1.7,1.6,1.4
