AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,86.6,235.7,15.3,13.5,18.7,10.6,5.8
Cash_from_Operations,1060.3,742.5,692.4,878.7,798.2,354.3,123.7
Diluted_EPS,0.322,0.255,0.35,0.337,0.159,0.115,0.007
Goodwill_Intangibles,3098.4,3111.0,2765.4,2659.1,2671.8,2548.2,2518.4
LT_Debt,828.0,746.5,764.3,11.1,0.0,0.0,0.0
Net_Income,521.1,429.3,588.9,564.4,259.8,187.9,11.6
Revenue,4016.5,4428.2,4131.9,3604.8,2690.7,1556.3,618.1
Shares_Diluted,1617.254,1681.523,1680.23,1673.786,1635.451,1635.451,1635.451
Total_Assets,9497.2,9531.9,9676.3,7466.1,6321.9,4251.9,3335.6
Total_Liabilities,2680.1,2400.5,2271.6,1288.0,975.7,546.9,412.4
