AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-1.9,-0.9,,-2.0,-0.9,-0.1
Diluted_EPS,0.061,-0.007,,0.091,0.038,-0.0069999999999999
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,2.0,-0.2,,1.8,0.6,-0.1
Revenue,,0.0,0.0,,0.0,0.0
Shares_Diluted,32.3438,32.3438,,19.4063,15.525,16.875
Total_Assets,267.5,265.1,,162.5,160.0,0.2
Total_Liabilities,9.5,9.2,,6.5,5.7,0.3
