AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017
Capital_Expenditures,3.2,3.5,0.4,0.6,1.1,1.5
Cash_from_Operations,12.7,0.3,5.1,-0.6,4.4,2.7
Diluted_EPS,0.03,0.092,0.145,0.152,0.148,0.04
Goodwill_Intangibles,1.7,1.9,1.9,1.8,2.0,2.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,1.1,3.2,5.1,5.3,5.2,1.4
Revenue,64.9,57.1,50.0,46.1,50.4,22.5
Shares_Diluted,35.75,34.0893,35.0,35.0,35.0,35.0
Total_Assets,64.5,75.4,48.1,35.3,33.3,33.4
Total_Liabilities,11.5,20.5,22.0,15.4,18.0,22.1
