AAII_YR_DATA,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017
Capital_Expenditures,0.0,14.7,50.6,99.8,42.3
Cash_from_Operations,-16.2,8.1,-13.1,-17.3,-6.5
Diluted_EPS,-43.27,-126.041,-62.83,-49.554,-23.727
Goodwill_Intangibles,22.6,34.4,1.8,1.8,1.9
LT_Debt,76.2,69.1,63.4,24.5,27.0
Net_Income,-84.3,-227.1,-119.3,-94.1,-45.0
Revenue,153.4,178.9,182.7,131.8,77.4
Shares_Diluted,1.9476,1.8015,1.8985,1.8985,1.8985
Total_Assets,55.9,126.0,266.5,263.8,167.8
Total_Liabilities,425.2,422.7,388.0,381.7,233.6
