AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,8.5,4.3,18.1,22.0,12.7,10.1
Cash_from_Operations,-10.2,12.5,68.7,-13.6,53.4,8.4
Diluted_EPS,-4.612,-20.199,-14.259,-3.345,4.27,6.989
Goodwill_Intangibles,115.7,123.6,166.7,175.1,178.9,0.0
LT_Debt,153.1,141.5,169.7,230.8,227.7,113.2
Net_Income,-14.6,-60.4,-42.1,-8.9,12.8,20.9
Revenue,293.2,232.4,244.7,400.9,430.4,265.1
Shares_Diluted,3.1573,2.9897,2.9495,2.661,2.9946,2.9946
Total_Assets,344.1,281.0,355.8,458.9,377.7,188.8
Total_Liabilities,288.0,233.6,303.3,366.3,329.9,168.2
