AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,0.1,0.3,0.4,0.2,,,,,
Cash_from_Operations,-11.7,-21.0,-19.6,-19.3,-7.9,-7.9,-6.3,-0.3,-0.3
Diluted_EPS,-7.38,-11.797,-12.991,-43.968,-52.643,-25.279,-18.105,-2.92,-2.92
Goodwill_Intangibles,1.1,1.3,1.8,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-18.1,-14.1,-9.8,-28.6,-28.0,-12.0,-6.9,-1.1,-1.1
Revenue,0.5,0.7,1.5,0.5,,,,0.0,0.0
Shares_Diluted,2.4568,1.1978,0.7529,0.651,0.5323,0.4763,0.3801,0.326,0.326
Total_Assets,14.1,6.5,10.3,27.8,6.8,3.5,4.0,1.2,1.2
Total_Liabilities,2.8,2.7,4.5,18.0,14.3,6.9,4.1,2.8,2.8
