AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-331.1,-1567.9,34.4,66.0,-230.6
Diluted_EPS,-7.652,0.836,0.028,0.201,-0.061
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0
LT_Debt,1643.4,1470.0,81.9,138.5,187.8
Net_Income,-187.8,21.1,0.7,5.1,-1.5
Revenue,52.5,49.1,33.3,11.8,0.5
Shares_Diluted,24.5479,25.2273,25.503,25.503,25.503
Total_Assets,2946.2,2577.9,509.7,459.1,431.0
Total_Liabilities,2709.7,2086.5,261.3,364.2,386.9
