AAII_YR_DATA,04/01/2022,04/02/2021,04/03/2020,12/31/2019,03/29/2019,12/31/2018,03/30/2018,12/31/2017,03/31/2017,12/31/2016,04/01/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,6.0,89.0,207.0,654.4,142.0,51.2,70.0,64.1,272.0,201.4,381.0,253.0,72.9,89.6
Cash_from_Operations,706.0,-861.0,1495.0,-7.2,950.0,18.6,-209.0,120.5,796.0,68.4,1312.0,8.6,107.7,82.1
Diluted_EPS,1.415,0.923,6.045,0.088,0.049,-2.329,1.704,-6.145,-0.172,-0.712,3.713,-4.97,-5.093,-3.57
Goodwill_Intangibles,3896.0,3983.0,3652.0,173.1,10700.0,204.7,10962.0,228.6,11631.0,616.3,3591.0,680.0,515.9,87.9
LT_Debt,2736.0,3288.0,3465.0,1490.3,3961.0,2050.9,5026.0,2075.7,6876.0,2143.9,2207.0,2240.0,1528.5,411.5
Net_Income,836.0,554.0,3887.0,14.6,31.0,-235.2,1138.0,-579.0,-106.0,-64.0,2488.0,-426.2,-254.0,-178.0
Revenue,2796.0,2551.0,2490.0,4565.8,2456.0,4976.7,2559.0,5373.7,4019.0,5732.4,3600.0,5619.2,4768.1,4710.3
Shares_Diluted,591.0,600.0,643.0,165.314,632.0,101.007,668.0,94.217,618.0,89.873,670.0,85.755,49.865,49.865
Total_Assets,6943.0,6361.0,7735.0,4662.1,15938.0,4263.6,15759.0,4787.9,18174.0,5779.2,11767.0,6059.9,5141.4,643.4
Total_Liabilities,7036.0,6861.0,7725.0,5423.1,10200.0,5603.1,10736.0,5872.1,14687.0,6269.5,8091.0,6496.3,5600.6,551.2
