AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.4,0.6,1.5,6.1,2.8,1.4,0.6,2.1,0.4,0.5,0.2
Cash_from_Operations,143.8,119.6,103.8,86.5,99.0,53.2,52.6,28.2,41.7,30.6,26.5
Diluted_EPS,8.7,6.406,4.654,5.16,4.637,2.96,2.561,2.135,1.422,1.778,1.778
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,148.0,147.8,99.3,99.2,99.1,99.0,98.8,0.0,0.0,0.0,0.0
Net_Income,128.8,95.2,69.3,77.7,69.8,42.9,35.8,29.2,19.0,23.5,23.5
Revenue,294.4,211.0,214.3,226.7,195.2,157.6,122.9,94.7,69.7,61.5,61.5
Shares_Diluted,14.8094,14.866,14.8852,15.0605,15.0598,14.4927,13.9873,13.6779,13.6779,13.62,13.3643
Total_Assets,6425.4,6046.3,5143.6,4628.5,4216.4,3769.9,3221.6,2598.8,2598.8,2054.2,1554.9
Total_Liabilities,5794.9,5459.6,4618.2,4158.5,3799.8,3414.8,2923.5,2334.7,2334.7,1819.1,1367.0
