AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.5,0.9,0.8,0.4,0.3,0.3,1.6,0.5,0.5,0.1,0.0
Cash_from_Operations,-4.7,-9.4,-6.5,-7.7,-6.4,-2.0,-11.0,-3.7,6.3,-0.6,0.0
Diluted_EPS,-2.02,-0.387,-0.452,-0.712,-1.033,-0.446,-0.93,0.067,0.454,0.703,0.591
Goodwill_Intangibles,13.1,13.5,13.3,15.1,17.1,18.9,26.2,15.3,13.3,14.8,0.0
LT_Debt,32.6,30.5,15.0,14.2,9.6,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-7.5,-10.1,-7.9,-11.5,-15.7,-6.7,-14.0,1.0,6.2,6.5,4.8
Revenue,17.6,12.3,11.8,16.5,21.9,33.3,20.0,28.3,29.7,8.8,8.9
Shares_Diluted,3.6912,26.1981,17.3864,16.1496,15.2322,14.9389,15.0488,15.2023,13.6622,9.1949,8.1562
Total_Assets,42.0,42.1,40.3,40.0,44.4,54.2,53.5,65.9,42.9,31.3,3.7
Total_Liabilities,38.9,37.7,35.4,31.7,24.8,21.5,14.7,11.5,14.6,11.9,3.0
