AAII_YR_DATA,12/25/2022,12/26/2021,12/27/2020,12/29/2019,12/30/2018
Capital_Expenditures,62.2,35.3,26.7,59.2,37.7
Cash_from_Operations,62.9,63.0,-18.4,21.5,30.8
Diluted_EPS,0.115,-0.044,-0.841,-0.77,-0.208
Goodwill_Intangibles,488.4,488.2,488.9,489.8,509.1
LT_Debt,94.7,99.8,286.4,250.4,193.1
Net_Income,6.9,-2.1,-49.7,-45.4,-12.3
Revenue,730.2,601.2,342.4,436.4,349.8
Shares_Diluted,60.14,48.214,59.0484,59.0484,59.0484
Total_Assets,1104.4,1046.9,1007.5,982.1,664.5
Total_Liabilities,581.3,542.5,686.6,652.3,290.1
