AAII_YR_DATA,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019
Capital_Expenditures,7.2,42.7,58.3,7.3,3.4
Cash_from_Operations,-160.1,-83.8,-92.9,-40.1,-30.2
Diluted_EPS,-2.038,-1.635,-1.311,-0.767,-0.329
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0
LT_Debt,46.7,34.6,380.7,203.1,0.0
Net_Income,-407.8,-288.3,-211.7,-118.6,-50.9
Revenue,547.2,378.4,227.0,142.6,76.8
Shares_Diluted,200.034,176.401,161.48,154.6103,154.6103
Total_Assets,955.0,707.0,731.1,421.7,113.7
Total_Liabilities,598.4,503.2,743.9,316.4,44.4
