AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,606.0,325.9,114.2,259.6,109.2
Cash_from_Operations,-1166.8,-155.1,-19.8,-505.0,-222.9
Diluted_EPS,-1.513,-0.839,-0.902,-0.864,-0.42
Goodwill_Intangibles,537.3,208.9,121.6,52.9,43.9
LT_Debt,766.9,237.4,233.1,239.5,141.7
Net_Income,-1295.3,-689.2,-693.0,-658.0,-319.6
Revenue,3806.2,2974.6,828.3,329.0,1.4
Shares_Diluted,856.2668,821.4532,768.3807,761.1807,761.1807
Total_Assets,10132.4,9304.8,6336.3,1311.2,1087.5
Total_Liabilities,4901.1,3331.3,1456.6,905.4,408.0
