AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.6,0.2,8.9,0.4,0.1,0.3,0.1,0.2
Cash_from_Operations,-11.2,-10.2,-10.4,-4.1,-0.4,-0.5,0.7,0.1
Diluted_EPS,-3.409,-22.972,-446.114,-703.973,-129.767,-129.398,-77.378,-73.778
Goodwill_Intangibles,14.0,11.3,12.8,6.5,,0.0,0.1,0.2
LT_Debt,0.8,0.9,0.6,0.7,0.0,0.0,0.0,0.0
Net_Income,-32.7,-32.9,-32.3,-11.3,-1.1,-1.1,-0.7,-0.6
Revenue,23.9,22.4,27.2,10.2,7.6,7.8,9.0,8.8
Shares_Diluted,9.6065,1.4335,0.0725,0.016,0.0086,0.0085,0.0085,0.0086
Total_Assets,75.6,42.8,49.4,30.5,5.5,5.1,6.3,7.0
Total_Liabilities,27.3,35.8,31.4,12.5,1.9,1.6,1.9,1.9
