AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,31.2,30.9,52.4,47.2,34.9
Cash_from_Operations,126.0,345.7,151.3,126.3,70.2
Diluted_EPS,0.17,-0.51,-0.066,-3.634,1.213
Goodwill_Intangibles,4493.5,4616.1,4717.3,4884.7,
LT_Debt,2028.9,2029.3,3172.1,3181.5,0.0
Net_Income,54.5,-162.4,-21.2,-1157.3,386.4
Revenue,3602.3,3155.7,3785.1,3707.6,2416.9
Shares_Diluted,321.0048,318.45,318.45,318.45,318.45
Total_Assets,5854.3,5777.5,6012.7,5994.9,
Total_Liabilities,3371.0,3334.4,4434.9,4402.5,
