AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.1,2.2,2.2,0.0,0.1,0.0
Cash_from_Operations,-19.8,5.0,12.3,-0.4,7.0,2.3
Diluted_EPS,-11.306,2.05,2.582,2.276,1.473,12.872
Goodwill_Intangibles,6.9,14.3,6.8,4.3,4.0,2.0
LT_Debt,0.5,0.5,0.0,0.1,0.2,0.0
Net_Income,-57.1,8.2,9.1,7.9,5.1,2.6
Revenue,15.2,24.6,23.8,18.5,14.1,9.4
Shares_Diluted,5.0537,3.9859,3.5141,3.48,3.48,0.2
Total_Assets,36.5,75.7,58.8,35.5,33.6,12.5
Total_Liabilities,21.3,16.9,14.1,7.2,11.8,5.5
