AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.5,2.4,3.4,4.5,4.7,1.7
Cash_from_Operations,-134.0,-376.7,-157.1,-183.9,-257.9,-171.7
Diluted_EPS,-1.121,-1.474,-1.766,-1.572,-1.524,-1.163
Goodwill_Intangibles,371.7,182.8,207.7,237.2,263.4,287.3
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-284.6,-350.2,-294.9,-349.3,-338.7,-258.4
Revenue,1327.7,973.2,813.5,439.3,272.4,172.6
Shares_Diluted,253.8164,237.6744,166.9612,222.2343,222.2343,222.2343
Total_Assets,1282.1,748.4,1353.1,607.5,800.3,625.3
Total_Liabilities,290.0,211.5,357.0,125.3,88.7,142.2
