AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,22.8,11.6,22.3,59.8,50.8
Cash_from_Operations,-237.1,-207.0,-67.8,-208.0,-146.2
Diluted_EPS,-7.132,-12.435,-5.14,-13.719,-8.548
Goodwill_Intangibles,19.4,21.9,18.8,22.5,
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-254.2,-292.2,-120.1,-320.6,-199.7
Revenue,91.5,54.5,248.1,44.3,54.6
Shares_Diluted,35.637,23.499,23.3691,23.3691,23.3691
Total_Assets,656.7,759.7,312.6,314.9,
Total_Liabilities,346.2,399.9,238.0,271.3,
