AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,1.4,1.5,0.9,0.8,0.4,0.3
Cash_from_Operations,38.3,14.9,24.5,15.0,5.4,2.0
Diluted_EPS,-0.638,0.175,0.273,-0.162,-0.243,-0.303
Goodwill_Intangibles,347.2,22.4,17.8,14.4,10.7,
LT_Debt,219.6,20.7,30.3,18.4,18.3,0.0
Net_Income,-19.0,4.7,6.5,-4.0,-6.0,-7.5
Revenue,165.7,50.5,49.2,33.1,23.5,17.1
Shares_Diluted,29.7163,26.6401,23.8985,24.6233,24.6233,24.6233
Total_Assets,460.9,115.8,94.6,33.2,19.4,
Total_Liabilities,315.6,56.0,43.8,38.8,21.6,
