AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,1.7,5.1,3.8,1.9,1.1
Cash_from_Operations,108.5,-155.4,-110.1,-75.5,-29.9
Diluted_EPS,0.214,-0.818,-0.398,-0.165,-0.083
Goodwill_Intangibles,8.5,8.5,8.0,2.6,1.7
LT_Debt,0.0,0.0,0.1,0.0,0.0
Net_Income,86.1,-244.7,-157.0,-65.0,-32.8
Revenue,397.1,454.4,429.2,214.1,33.8
Shares_Diluted,402.2467,299.0508,394.1265,394.1265,394.1265
Total_Assets,839.4,744.2,666.8,362.2,100.2
Total_Liabilities,163.9,181.0,216.1,149.4,60.7
