AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.0,0.0,0.1,2.8,3.6,7.2,21.6,10.4,15.5,57.8,9.3
Cash_from_Operations,0.6,-5.0,-5.6,-14.9,-19.8,-58.6,-103.6,-69.1,-1.8,0.5,20.2
Diluted_EPS,,-0.395,0.239,-1.002,-2.868,-24.911,-10.477,61.462,-2.154,-0.883,-13.168
Goodwill_Intangibles,,,,,0.0,0.0,1.7,2.3,1.0,1.4,
LT_Debt,0.0,0.0,2.6,2.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,,-17.3,7.5,-31.5,-90.1,-156.5,-65.6,149.6,-25.7,-10.6,-32.7
Revenue,2.9,11.7,23.4,26.0,24.5,23.8,16.5,50.2,74.7,91.3,286.7
Shares_Diluted,43.907,31.4489,31.4162,31.4133,6.2815,6.2639,6.087,2.4348,11.9305,12.0387,2.4854
Total_Assets,115.1,96.0,115.1,97.7,129.8,225.0,381.2,531.6,395.6,402.8,343.9
Total_Liabilities,69.4,71.5,83.5,77.2,78.4,77.4,112.5,145.0,146.9,131.8,102.0
