AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,13.5,19.8,14.5,8.0,6.2
Cash_from_Operations,60.9,-299.0,-114.2,0.0,5.4
Diluted_EPS,-17.609,-26.798,-3.35,-2.589,50.419
Goodwill_Intangibles,500.6,594.7,1075.3,1169.3,0.0
LT_Debt,504.8,665.1,396.4,288.7,0.2
Net_Income,-148.7,-189.4,-18.8,-41.1,28.1
Revenue,631.7,1062.4,877.4,539.5,226.2
Shares_Diluted,8.445,7.0661,5.6126,15.8626,0.5577
Total_Assets,1659.3,2068.9,2108.8,1602.3,142.8
Total_Liabilities,1341.2,1715.7,1728.4,742.2,83.5
