AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,22.3,10.0,17.6,45.6,40.2
Cash_from_Operations,81.1,42.9,28.7,27.8,49.7
Diluted_EPS,0.247,-0.032,0.033,0.041,0.205
Goodwill_Intangibles,15.8,14.1,14.0,12.4,13.1
LT_Debt,63.5,71.4,56.3,57.3,74.6
Net_Income,35.2,-4.5,4.6,5.8,28.8
Revenue,205.6,148.1,100.4,105.7,116.4
Shares_Diluted,142.5794,141.0152,140.6627,140.6627,140.6627
Total_Assets,332.3,286.5,253.4,243.6,261.7
Total_Liabilities,105.2,104.2,93.7,89.4,113.8
