AAII_YR_DATA,03/31/2022,12/31/2021,03/31/2021,12/31/2020,03/31/2020,12/31/2019,03/31/2019,12/31/2018,03/31/2018,12/31/2017,03/31/2017,12/31/2016,03/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,4.0,15.1,1.4,22.9,1.6,39.1,1.7,35.3,0.4,16.4,0.9,20.6,1.1,23.0,21.7,7.1
Cash_from_Operations,-8.3,169.8,-1.8,26.4,-1.4,89.3,-1.2,78.6,-1.0,42.2,-1.7,24.6,-1.7,5.3,2.1,4.0
Diluted_EPS,-0.42,-1.87,-0.046,-1.893,-0.02,-1.534,-0.036,-1.242,-0.025,-1.022,-0.046,-1.048,-0.072,-0.99,-1.259,-0.383
Goodwill_Intangibles,0.0,197.1,0.0,196.2,0.0,206.9,0.0,146.3,0.0,126.2,0.0,53.3,0.0,57.0,14.2,0.0
LT_Debt,1.1,979.4,0.3,935.6,0.0,483.5,0.0,458.2,0.0,0.0,0.0,0.0,0.0,0.0,3.9,23.4
Net_Income,-38.7,-223.6,-3.9,-218.2,-1.5,-169.7,-2.4,-131.1,-1.6,-102.1,-2.8,-97.6,-4.2,-84.1,-67.4,-22.6
Revenue,0.3,1338.6,0.0,1029.6,,816.4,,598.7,,430.2,,312.8,,208.8,127.0,72.0
Shares_Diluted,92.092,119.573,84.0224,115.24,76.8623,110.606,67.2993,105.567,63.0855,99.918,62.1305,93.161,58.2086,84.926,53.57100000000001,59.074
Total_Assets,38.0,2451.3,4.1,2157.3,26.2,1514.6,25.5,1237.9,22.2,591.4,22.8,475.3,21.5,422.7,205.8,92.7
Total_Liabilities,3.4,1962.1,2.8,1725.4,0.5,1056.6,0.6,821.0,0.2,237.2,0.1,175.9,0.1,129.4,92.1,67.6
