AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,23.2,25.7,34.7,,,
Diluted_EPS,4.867,3.555,2.265,4.57,3.646,3.558
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,277.9,227.1,75.0,320.0,425.0,270.0
Net_Income,36.2,26.5,17.0,34.4,27.8,27.2
Revenue,100.8,101.0,110.7,111.2,107.2,98.2
Shares_Diluted,7.43,7.4545,7.4962,7.524,7.627,7.6425
Total_Assets,3621.7,3424.8,2865.9,3006.7,3089.3,2960.4
Total_Liabilities,3232.1,3039.9,2512.4,2660.8,2745.5,2631.7
