AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,61.8,8.2,19.3,8.2,1.6
Cash_from_Operations,275.4,3.0,4.0,26.7,25.5
Diluted_EPS,0.906,-0.89,-0.241,-0.785,-0.679
Goodwill_Intangibles,1381.8,761.3,693.5,660.9,658.5
LT_Debt,1741.9,1738.5,1005.4,635.1,548.7
Net_Income,75.1,-48.9,-19.4,-63.1,-54.6
Revenue,1993.6,1367.5,766.9,731.4,560.6
Shares_Diluted,82.8721,54.9244,80.5527,80.4192,80.4192
Total_Assets,2554.0,2342.6,1779.3,788.0,738.7
Total_Liabilities,2206.7,2069.8,1319.7,773.9,654.3
