AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,34.9,39.1,17.8,44.3,32.2
Cash_from_Operations,53.5,63.5,139.1,18.1,77.0
Diluted_EPS,-0.047,-0.158,-0.055,-0.188,-0.034
Goodwill_Intangibles,745.0,801.3,23.1,25.7,
LT_Debt,223.0,285.4,0.0,0.0,0.0
Net_Income,-12.0,-36.9,-14.4,-49.2,-8.9
Revenue,1401.2,1378.5,1188.9,1093.8,909.2
Shares_Diluted,254.2848,234.0317,261.2,261.2,261.2
Total_Assets,1529.6,1597.3,580.2,482.1,
Total_Liabilities,695.1,829.7,363.3,304.6,
