AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.0,0.0,0.9,4.7,9.4,0.5,1.4,0.1
Cash_from_Operations,-11.3,-11.5,-29.0,-39.1,-22.1,-12.0,-7.9,-4.8
Diluted_EPS,-1.885,-16.328,-112.74,-111.674,-130.958,-93.375,-73.726,-94.392
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-7.7,-14.1,-47.6,-43.5,-28.9,-13.4,-7.2,-5.7
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,4.0906,0.8653,0.4222,0.3899,0.2208,0.1431,0.0974,0.0603
Total_Assets,40.6,20.9,21.3,61.5,64.5,24.7,37.2,48.6
Total_Liabilities,4.7,6.4,9.7,8.0,5.7,2.0,1.6,11.7
