AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.0,,,0.0,0.0,0.0,0.1,0.2,0.2
Cash_from_Operations,-13.4,-14.8,-9.0,-7.3,-7.7,-13.4,-15.6,-18.9,-11.7
Diluted_EPS,-16.199,-142.947,-351.86,,,,,-358.87,-405.346
Goodwill_Intangibles,,,0.1,0.7,0.8,0.9,1.0,2.2,1.2
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,8.1
Net_Income,-14.3,-26.6,-16.3,-8.4,-4.9,-15.7,-21.1,-20.9,-22.6
Revenue,,,0.0,0.0,0.3,0.3,0.0,0.0,0.0
Shares_Diluted,0.8803,0.1862,0.0462,0.0073,0.0025,0.0022,0.0014,0.0582,0.0558
Total_Assets,15.8,12.5,13.0,6.6,7.7,13.9,22.6,14.9,29.8
Total_Liabilities,3.3,5.1,3.3,1.5,1.6,5.4,11.3,10.0,12.1
