AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,16.3,13.7,11.7,9.7,8.0
Cash_from_Operations,132.9,104.8,53.0,101.4,71.8
Diluted_EPS,-0.616,1.453,-1.329,0.604,-0.197
Goodwill_Intangibles,3104.2,3236.9,3353.3,1.2,0.4
LT_Debt,619.2,623.2,820.9,0.0,0.0
Net_Income,-79.7,181.6,-145.5,66.1,-21.5
Revenue,903.5,760.9,582.2,488.9,360.1
Shares_Diluted,129.4212,192.6755,109.4468,109.4468,109.4468
Total_Assets,3692.6,3777.0,3637.3,210.3,116.7
Total_Liabilities,2064.8,2168.8,1553.3,186.6,143.6
