AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.2,0.4,0.1,0.0,0.0,0.0
Cash_from_Operations,-1.0,-0.5,-0.3,-0.9,-0.8,-0.4
Diluted_EPS,-0.005,-0.011,-0.099,-0.039,-0.028,-0.033
Goodwill_Intangibles,3.8,5.5,6.4,7.6,11.6,2.7
LT_Debt,0.2,0.8,1.4,0.6,0.1,0.3
Net_Income,-4.0,-8.1,-14.0,-5.4,-3.8,-4.5
Revenue,10.0,11.1,10.2,0.9,2.1,2.8
Shares_Diluted,889.4063,740.1639,141.5949,136.9539,136.9539,136.9539
Total_Assets,10.7,12.8,15.5,10.8,8.8,6.1
Total_Liabilities,36.8,36.5,34.2,16.7,11.7,5.9
