AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,10.7,29.9,10.7,6.4,3.5,3.2
Cash_from_Operations,-64.7,-67.7,-10.4,-32.3,-21.1,-18.9
Diluted_EPS,-1.325,-1.084,-0.975,-0.465,-0.324,-0.257
Goodwill_Intangibles,0.3,0.7,0.5,0.0,0.1,
LT_Debt,0.0,0.0,0.0,3.3,13.2,0.0
Net_Income,-137.7,-112.9,-66.9,-47.4,-32.9,-26.2
Revenue,79.8,72.0,60.9,54.1,29.6,15.8
Shares_Diluted,103.9089,104.2079,68.6345,101.7795,101.7795,101.7795
Total_Assets,225.0,322.9,377.4,120.1,52.8,
Total_Liabilities,60.8,61.4,34.3,30.0,53.9,
