AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,629.5,489.4,343.6,228.4,149.1
Cash_from_Operations,121.8,151.0,94.2,5.7,-3.6
Diluted_EPS,0.252,0.123,-0.131,-0.069,-0.055
Goodwill_Intangibles,112.4,110.4,112.4,117.2,3.0
LT_Debt,1024.3,507.9,560.1,390.2,65.6
Net_Income,92.4,44.8,-40.2,-24.7,-19.6
Revenue,645.1,404.3,259.5,120.9,14.0
Shares_Diluted,366.291,364.5077,306.8368,356.3961,356.3961
Total_Assets,3274.0,2647.8,2304.5,1101.4,198.3
Total_Liabilities,1727.8,1214.2,924.1,642.6,102.5
