AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.1,1.5,1.1,0.5,1.1,0.1
Cash_from_Operations,-73.3,-75.7,-29.8,-13.7,-9.9,-6.1
Diluted_EPS,-2.003,-1.903,-1.91,-0.389,-0.28,-0.15
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,34.2,0.0,0.0,5.7,0.0,0.0
Net_Income,-87.6,-81.0,-79.7,-16.2,-11.7,-6.3
Revenue,1.5,1.4,,,,
Shares_Diluted,43.7485,42.5988,41.7258,41.664,41.664,41.664
Total_Assets,219.1,252.3,310.7,69.4,31.4,
Total_Liabilities,56.8,20.8,16.2,31.3,16.9,
