AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,5.7,3.1,1.0,1.1,0.8,1.2,1.4
Cash_from_Operations,10.2,22.0,6.6,69.6,12.6,17.7,24.2
Diluted_EPS,0.499,-0.205,-0.088,-1.125,-0.195,0.499,0.316
Goodwill_Intangibles,197.6,206.4,236.6,252.9,321.5,244.0,199.1
LT_Debt,70.3,74.5,103.5,114.4,157.8,103.0,79.2
Net_Income,17.7,-7.1,-3.0,-38.2,-5.6,13.1,6.6
Revenue,341.9,337.3,345.1,417.0,367.4,263.2,197.3
Shares_Diluted,35.4843,34.7144,34.4453,33.9795,28.7917,26.1969,20.72
Total_Assets,408.6,392.6,438.5,498.6,598.8,412.1,349.2
Total_Liabilities,215.6,214.0,252.0,308.6,359.7,230.9,178.8
